ticker,cik,company_name,sic,sic_description,latest_fiscal_year,period_end
,1576914,MIX TELEMATICS LIMITED,,,2023,2023-03-31
,1580063,"Biora Therapeutics, Inc.",,,2023,2023-12-31
RTON,1580262,"Right On Brands, Inc.",5900,Retail-Miscellaneous Retail,2023,2023-03-31
,1582249,"ACTAVIA LIFE SCIENCES, INC.",,,2023,2023-09-30
,1584425,TRICON RESIDENTIAL INC.,,,2023,2022-12-31
,1584751,Talis Biomedical Corporation,,,2023,2023-12-31
,1586454,Prime Meridian Holding Co,,,2023,2023-12-31
,1588972,"Societal CDMO, Inc.",,,2023,2023-12-31
,1589361,White River Energy Corp,,,2023,2023-03-31
,1591165,"Innoveren Scientific, Inc.",,,2023,2023-09-30
,1591587,"ASSETMARK FINANCIAL HOLDINGS, INC.",,,2023,2023-12-31
,1592000,"EnLink Midstream, LLC",,,2023,2023-12-31
,1592057,Enviva Inc.,,,2023,2023-12-31
,1592782,NUKKLEUS INC.,,,2023,2023-03-01
,1593034,Endo International plc,,,2023,2023-12-31
,1596856,Leju Holdings Ltd,,,2023,2023-12-31
JRSS,1597892,JRSIS HEALTH CARE CORPORATION,8060,Services-Hospitals,2023,2023-12-31
,1600422,"Superior Drilling Products, Inc.",,,2023,2023-12-31
,1600847,Gamida Cell Ltd.,,,2023,2023-12-31
,1601280,"MediXall Group, Inc.",,,2023,2023-12-31
,1602078,NEMAURA MEDICAL INC.,,,2023,2023-03-31
,1603207,"NOTABLE LABS, LTD.",,,2023,2023-12-31
,1603756,"Axonics, Inc.",,,2023,2023-12-31
VMNT,1605057,"VEMANTI GROUP, INC.",6199,Finance Services,2023,2023-12-31
KITL,1608092,Kisses From Italy Inc.,5810,Retail-Eating & Drinking Places,2023,2023-12-31
,1608390,Affimed N.V.,,,2023,2023-12-31
,1611282,"PishPosh, Inc.",,,2023,2023-12-31
,1613685,"TRENDMAKER, INC. LIMITED",,,2023,2023-12-31
,1616291,Jupai Holdings Limited,,,2023,2023-12-31
GGBY,1616736,Alpha Investment Inc.,6500,Real Estate,2023,2023-12-31
,1616741,"PATRIOT TRANSPORTATION HOLDING, INC.",,,2023,2023-09-30
,1617765,"Evome Medical Technologies, Inc.",,,2023,2023-12-31
,1620179,"EXELA TECHNOLOGIES, INC.",,,2023,2023-12-31
,1621563,"Summit Materials, Inc.",,,2023,2023-12-30
,1622879,"Medicine Man Technologies, Inc.",,,2023,2023-12-31
,1623590,FINTECH SCION LIMITED,,,2023,2023-12-31
,1624140,"CORETAG, INC.",,,2023,2023-09-30
,1625285,"ARMA SERVICES, INC.",,,2023,2022-10-31
,1626199,"ALPINE IMMUNE SCIENCES, INC.",,,2023,2023-12-31
FVTI,1626745,"FORTUNE VALLEY TREASURES, INC.",5900,Retail-Miscellaneous Retail,2023,2023-12-31
,1627480,"PV Nano Cell, Ltd.",,,2023,2023-12-31
,1628945,Cue Health Inc.,,,2023,2023-12-31
,1629205,INNOVATION1                                          BIOTECH INC.,,,2023,2023-08-31
,1629665,MULIANG VIAGOO TECHNOLOGY INC.,,,2023,2023-12-31
,1631256,"KBS GROWTH & INCOME REIT, INC.",,,2023,2023-12-31
,1633438,Azure Power Global Limited,,,2023,2023-03-31
,1634447,"ISUN, INC.",,,2023,2023-12-31
,1634997,"Avangrid, Inc.",,,2023,2023-12-31
,1635136,"DUO WORLD, INC.",,,2023,2023-03-31
,1635984,"NATIONAL WESTERN LIFE GROUP, INC.",,,2023,2023-12-31
,1637736,ELECTRAMECCANICA VEHICLES CORP.,,,2023,2023-12-31
,1639142,AETHER GLOBAL INNOVATIONS CORP.,,,2023,2023-11-30
,1642375,"GUARDION HEALTH SCIENCES, INC.",,,2023,2023-12-31
,1642453,"DASEKE, INC.",,,2023,2023-12-31
,1642545,"Shockwave Medical, Inc.",,,2023,2023-12-31
,1643269,"Sumo Logic, Inc.",,,2023,2023-01-31
,1643301,"AVENIR WELLNESS SOLUTIONS, INC.",,,2023,2023-12-31
,1645070,Sterling Check Corp.,,,2023,2023-12-31
,1650739,"AJIA INNOGROUP HOLDINGS, LTD.",,,2023,2023-06-30
,1651944,"DERMTECH, INC.",,,2023,2023-12-31
,1651958,EOS INC.,,,2023,2023-12-31
,1653876,MOMENTOUS HOLDINGS CORPORATION,,,2023,2023-05-31
,1654151,"Deciphera Pharmaceuticals, Inc.",,,2023,2023-12-31
,1656501,"BorrowMoney.com, Inc.",,,2023,2023-08-31
,1656634,"Gritstone bio, Inc.",,,2023,2023-12-31
,1658521,"MOUNTAIN TOP PROPERTIES, INC.",,,2023,2023-12-31
,1659520,SilverCrest Metals Inc.,,,2023,2023-12-31
,1661039,"TPT Global Tech, Inc.",,,2023,2023-12-31
,1661460,"Poseida Therapeutics, Inc.",,,2023,2023-12-31
,1662574,"GROM SOCIAL ENTERPRISES, INC.",,,2023,2023-12-31
,1668370,"TOUGHBUILT INDUSTRIES, INC.",,,2023,2023-12-31
,1668523,GSG GROUP INC.,,,2023,2023-12-31
,1668673,"PetIQ, Inc.",,,2023,2023-12-31
,1670196,Universal Gaming Corporation,,,2023,2023-12-31
,1673431,SOUTH EAST ASIA DEVELOPMENT CORP.,,,2023,2023-12-31
,1675634,"SHIFTPIXY, INC.",,,2023,2023-08-31
,1676479,"CAPSTAR FINANCIAL HOLDINGS, INC.",,,2023,2023-12-31
,1679063,Chicken Soup for the Soul Entertainment Inc.,,,2023,2023-12-31
,1679363,"Morphic Holding, Inc.",,,2023,2023-12-31
,1679379,"NYIAX, Inc.",,,2023,2023-12-31
,1680935,HUAHUI EDUCATION GROUP LIMITED,,,2023,2023-12-31
GXXM,1681556,GEX MANAGEMENT INC.,8742,Services-Management Consulting Services,2023,2023-12-31
,1681903,"ICC Holdings, Inc.",,,2023,2023-12-31
,1683131,"FORZA INNOVATIONS, INC.",,,2023,2023-06-30
,1686850,"MOTUS GI HOLDINGS, INC.",,,2023,2023-12-31
,1687926,"ZEUUS, INC.",,,2023,2023-09-30
,1689923,"ALTERYX, INC.",,,2023,2023-12-31
,1691936,"STRYVE FOODS, INC.",,,2023,2023-12-31
,1692780,MIDNIGHT GAMING CORPORATION,,,2023,2023-12-31
